date,day,tempSkin,dailyrmssd,deeprmssd,restingHeartRate,breathingRate,spo2avg
2022-11-22,21,0.1,81.534,73.382,56,15.2,95.2
2022-11-23,22,0.5,80.95,79.275,56,15.8,91.6
2022-11-24,23,0.1,75.978,73.693,56,16.2,95.8
2022-11-25,24,-1.0,48.362,47.713,58,15.4,92.3
2022-11-26,25,-0.4,41.54,42.308,60,15.4,93.6
2022-11-27,26,0.4,49.355,44.58,61,15.6,93.7
2022-11-28,27,0.4,60.048,61.611,59,15.8,93.5
2022-11-29,28,-0.6,75.076,63.467,58,15.6,94.4
2022-12-01,30,-0.0,61.441,59.42,58,15.2,94.1
2022-12-02,31,-1.2,84.887,79.168,57,14.6,92.7
2022-12-04,33,0.1,63.587,64.807,59,15.8,93.5
2022-12-06,35,0.1,66.391,63.744,57,15.2,96.2
2022-12-07,36,0.2,57.31,54.096,57,13.8,93.1
2022-12-08,37,-0.2,56.016,50.171,58,14.2,95.1
2022-12-09,38,0.3,48.733,46.402,59,15.8,92.7
2022-12-10,39,0.4,53.631,47.543,59,15.6,92.1
2022-12-11,40,0.1,72.163,66.739,58,15.2,92.2
2022-12-13,42,-0.7,72.789,69.404,57,16.4,92.9
2022-12-15,2,0.2,48.164,41.163,57,15.4,93.9
2022-12-16,3,0.8,36.941,33.44,59,15.4,95.6
2022-12-17,4,-0.1,46.155,37.659,57,14.8,95.3
2022-12-18,5,-0.5,41.963,41.17,58,14.8,93.1
2022-12-21,8,-0.1,65.054,53.381,56,15.6,93.0
2022-12-24,11,0.5,63.556,51.98,56,15.8,95.1
2022-12-25,12,-0.5,61.353,56.194,56,15.0,94.8
2022-12-26,13,0.5,59.973,52.345,56,15.0,95.4
2022-12-27,14,-1.2,52.17,43.806,57,15.2,92.6
2022-12-28,15,-1.6,50.22,50.27,59,16.6,96.1
2022-12-29,16,-0.3,53.017,41.668,59,16.6,94.4
2022-12-30,17,-0.9,42.019,40.918,61,16.0,93.2
2022-12-31,18,-1.3,41.098,34.981,61,15.8,94.4
2023-01-01,19,-0.9,33.678,38.851,63,14.8,95.0
2023-01-02,20,0.5,41.094,47.393,62,15.0,94.8
2023-01-03,21,-0.6,50.961,46.196,60,15.4,92.2
2023-01-04,22,-1.2,49.425,51.758,59,15.0,92.5
2023-01-05,23,0.1,49.889,37.735,60,15.2,93.1
2023-01-06,24,-0.4,52.868,49.719,59,15.8,91.9
2023-01-07,25,-0.0,44.64,36.837,60,15.6,92.6
2023-01-08,26,0.8,60.843,60.321,59,15.8,92.2
2023-01-10,28,0.9,36.631,35.692,61,17.4,92.6
2023-01-11,29,0.3,40.056,29.377,63,17.4,93.9
2023-01-12,1,0.1,46.688,49.851,63,16.6,94.1
2023-01-13,2,-0.6,51.904,46.821,62,17.2,93.7
2023-01-15,4,-0.1,52.854,46.05,60,15.8,95.3
2023-01-16,5,-0.8,58.483,57.853,59,15.6,92.9
2023-01-17,6,0.0,57.966,49.805,58,16.0,95.2
2023-01-18,7,0.2,57.834,49.657,58,15.8,93.6
2023-01-19,8,0.3,54.182,42.793,58,15.2,92.8
2023-01-20,9,-0.8,44.985,45.68,58,16.0,95.3
2023-01-21,10,0.5,55.504,53.781,58,15.6,94.6
2023-01-23,12,0.5,87.18,87.315,54,15.4,94.5
2023-01-24,13,-1.3,72.763,63.697,54,15.6,92.8
2023-01-25,14,-0.8,77.015,64.931,54,15.8,92.3
2023-01-27,16,0.4,69.859,66.883,53,15.4,94.7
2023-01-28,17,-0.4,79.572,58.594,54,15.4,93.4
2023-01-29,18,0.6,69.449,63.499,55,15.2,94.3
2023-01-30,19,-0.6,57.507,46.06,56,15.2,93.7
2023-01-31,20,0.5,54.685,54.611,56,14.8,93.4
2023-02-01,21,-0.6,65.519,61.407,56,16.0,91.9
2023-02-03,23,-0.7,63.311,62.263,56,15.8,93.7
2023-02-05,25,-0.8,63.168,54.543,56,14.0,94.4
2023-02-06,26,-0.1,70.112,65.214,57,14.8,95.1
2023-02-07,27,-0.7,57.237,45.569,58,14.8,95.9
2023-02-08,28,-1.8,56.026,45.202,58,15.4,95.2
2023-02-10,30,0.5,56.325,53.079,61,15.0,95.8
2023-02-11,31,-0.0,63.514,59.231,62,13.8,94.3
2023-02-12,32,-1.0,60.308,53.492,62,14.8,93.3
2023-02-13,33,0.6,56.104,49.811,62,14.4,93.1
2023-02-14,34,0.4,53.579,52.959,60,15.2,92.7
2023-02-15,35,-0.5,57.838,55.203,61,15.4,94.7
2023-02-16,36,0.1,48.39,37.795,62,15.8,94.7
2023-02-17,37,0.6,59.029,60.685,62,15.0,94.1
2023-02-18,38,0.4,60.612,63.271,61,16.2,95.3
2023-02-19,39,0.7,58.872,68.992,61,16.0,96.4
2023-02-20,40,0.6,43.488,46.384,62,13.0,94.2
2023-02-21,41,0.6,24.741,21.806,63,16.0,95.3
2023-02-22,42,0.6,38.969,28.489,64,16.6,93.5
2023-02-23,43,0.5,51.843,49.44,64,16.0,96.1
2023-02-24,44,0.4,56.831,52.932,62,14.8,94.1
2023-02-25,45,0.5,56.737,50.726,62,14.8,94.5
2023-02-26,1,0.8,56.688,59.767,61,16.2,92.1
2023-02-27,2,-0.2,71.837,86.125,58,16.0,93.6
2023-03-01,4,-0.1,79.05,69.714,55,15.4,92.4
2023-03-02,5,-0.4,84.262,79.473,53,15.4,92.9
2023-03-03,6,0.1,74.228,75.476,53,14.6,96.7
2023-03-05,8,-1.9,70.382,66.785,54,15.8,93.7
2023-03-06,9,-1.2,82.223,83.072,53,15.8,93.7
2023-03-07,10,-1.4,71.215,67.837,52,15.4,94.5
2023-03-08,11,-0.2,76.819,64.0,51,16.6,95.1
2023-03-09,12,-0.0,81.774,80.914,51,15.8,95.4
2023-03-10,13,-1.1,86.056,82.251,51,14.4,93.5
2023-03-11,14,-0.5,80.719,80.644,53,12.0,95.0
2023-03-18,21,0.6,59.286,54.886,55,14.6,93.8
2023-03-19,22,-0.8,46.915,43.977,58,16.0,94.2
2023-03-20,23,0.4,58.105,56.316,59,14.4,92.5
2023-03-21,24,0.4,74.786,56.343,58,15.2,91.6
2023-03-22,25,-1.0,67.442,61.32,57,15.6,95.5
2023-03-24,27,0.1,77.03,72.228,55,15.4,92.6
2023-03-25,28,0.0,72.769,66.852,55,13.2,92.4
2023-03-26,29,-0.2,74.5,56.52,55,13.6,94.9
2023-03-27,30,0.4,74.466,70.597,54,15.0,92.8
2023-03-28,31,0.1,72.41,70.033,54,15.2,94.1
2023-03-29,32,-1.6,53.304,41.132,56,15.4,93.0
2023-03-31,34,0.3,70.335,57.742,59,14.2,97.1
2023-04-01,35,0.2,59.639,54.457,59,16.4,92.9
2023-04-02,36,1.1,62.94,59.174,59,15.2,94.2
2023-04-03,37,1.2,56.67,60.418,58,13.8,92.4
2023-04-04,38,0.9,62.136,61.648,59,15.6,93.7
2023-04-05,39,0.8,46.905,42.441,60,16.2,93.9
2023-04-06,40,-0.5,62.595,57.143,60,15.6,95.8
2023-04-07,1,0.7,74.643,78.742,58,15.2,94.2
2023-04-09,3,0.8,78.978,77.131,54,15.6,91.7
2023-04-10,4,-1.0,84.464,78.695,53,14.8,95.2
