date,dailyrmssd,deeprmssd
2023-09-04,46.045,43.614
2023-09-05,49.405,43.739
2023-09-06,50.063,51.775
2023-09-07,63.06,62.88
2023-09-08,85.421,92.864
2023-09-09,74.479,68.919
2023-09-10,78.646,77.212
2023-09-11,83.954,83.175
2023-09-12,87.646,83.197
2023-09-13,89.64,79.423
2023-09-14,87.15,86.198
2023-09-15,85.55,81.251
2023-09-16,87.765,81.061
2023-09-17,97.435,85.626
2023-09-18,79.068,69.994
2023-09-19,72.55,65.189
2023-09-20,70.899,56.625
2023-09-21,78.811,76.114
2023-09-22,80.738,63.795
2023-09-23,68.254,66.85
2023-09-24,73.118,76.035
2023-09-25,65.586,65.594
2023-09-26,73.16,67.622
2023-09-27,66.784,58.903
